Position 1:
  Digit 2: 756
  Digit 3: 628
  Digit 5: 358
  Digit 8: 79
  Digit 1: 979
  Digit 6: 140
  Digit 4: 505
  Digit 9: 68
  Digit 7: 63
Position 2:
  Digit 7: 453
  Digit 6: 258
  Digit 9: 362
  Digit 0: 298
  Digit 1: 356
  Digit 5: 295
  Digit 4: 370
  Digit 2: 348
  Digit 3: 536
  Digit 8: 300
Position 3:
  Digit 1: 265
  Digit 9: 414
  Digit 5: 381
  Digit 6: 416
  Digit 0: 356
  Digit 2: 581
  Digit 3: 383
  Digit 7: 338
  Digit 4: 164
  Digit 8: 278
Position 4:
  Digit 8: 317
  Digit 5: 465
  Digit 9: 418
  Digit 6: 307
  Digit 3: 251
  Digit 1: 439
  Digit 0: 481
  Digit 7: 177
  Digit 4: 423
  Digit 2: 298
Position 5:
  Digit 2: 610
  Digit 1: 908
  Digit 5: 237
  Digit 8: 249
  Digit 9: 108
  Digit 3: 537
  Digit 4: 414
  Digit 0: 179
  Digit 7: 121
  Digit 6: 213
Position 6:
  Digit 8: 248
  Digit 1: 437
  Digit 3: 617
  Digit 2: 478
  Digit 5: 319
  Digit 4: 465
  Digit 6: 247
  Digit 9: 228
  Digit 0: 248
  Digit 7: 289
Position 7:
  Digit 0: 319
  Digit 5: 400
  Digit 3: 381
  Digit 6: 423
  Digit 7: 449
  Digit 8: 250
  Digit 1: 302
  Digit 9: 359
  Digit 2: 435
  Digit 4: 254
Position 8:
  Digit 0: 429
  Digit 4: 274
  Digit 8: 341
  Digit 7: 229
  Digit 2: 379
  Digit 9: 436
  Digit 5: 455
  Digit 3: 292
  Digit 1: 392
  Digit 6: 344
Position 9:
  Digit 3: 424
  Digit 7: 88
  Digit 0: 295
  Digit 1: 784
  Digit 5: 227
  Digit 4: 391
  Digit 8: 242
  Digit 2: 714
  Digit 6: 139
  Digit 9: 247
Position 10:
  Digit 1: 751
  Digit 4: 382
  Digit 3: 540
  Digit 2: 629
  Digit 6: 77
  Digit 0: 221
  Digit 8: 158
  Digit 5: 205
  Digit 9: 343
  Digit 7: 140
Position 11:
  Digit 3: 395
  Digit 7: 293
  Digit 0: 327
  Digit 6: 212
  Digit 9: 488
  Digit 4: 247
  Digit 5: 367
  Digit 1: 407
  Digit 8: 331
  Digit 2: 304
Position 12:
  Digit 2: 313
  Digit 6: 148
  Digit 5: 409
  Digit 1: 473
  Digit 9: 394
  Digit 0: 328
  Digit 7: 262
  Digit 3: 369
  Digit 8: 399
  Digit 4: 153
Position 13:
  Digit 1: 223
  Digit 4: 127
  Digit 3: 153
  Digit 9: 214
  Digit 8: 231
  Digit 0: 238
  Digit 5: 175
  Digit 2: 112
  Digit 7: 134
  Digit 6: 38
Position 14:
