input_str,label,modified_str
input_str,lbel,input_str
0123889563510,1,eoeoeeooeoooe
1899206904761,1,oeooeeeoeeoeo
3365829192780,1,ooeoeeoooeoee
2639020914790,1,eeooeeeooeooe
1651027184761,1,oeooeeooeeoeo
0430970025237,1,eeoeooeeeoeoo
4790203713720,1,eooeeeoooooee
1872121543324,1,oeoeoeooeooee
0189936264790,1,eoeoooeeeeooe
0149580553682,1,eoeooeeoooeee
2919139566469,1,eoooooooeeeeo
3260023273388,1,oeeeeeoeoooee
0050666705332,1,eeoeeeeoeoooe
2368424255332,1,eoeeeeeeooooe
2296619833559,1,eeoeeooeooooo
0442733123134,1,eeeeooooeoooe
0672239801795,1,eeoeeooeeoooo
1473830233134,1,oeooeoeeooooe
0148542053510,1,eoeeoeeeooooe
1966111574309,1,ooeeoooooeoeo
0150727754310,1,eooeoeoooeooe
1810318213553,1,oeoeooeeooooo
2931462833980,1,eoooeeeeoooee
0173171186659,1,eoooooooeeeoo
3606827183270,1,oeeeeeooeoeoe
0648214153134,1,eeeeeoeoooooe
1314309683510,1,oooeoeoeeoooe
2037125984310,1,eeoooeooeeooe
0938820752996,1,eooeeeeooeooe
3070315054309,1,oeoeoooeoeoeo
0106502780,1,eoeeoeeoee
1821282514349,1,oeeoeeeooeoeo
0389612383559,1,eoeoeoeoeoooo
0291948565774,1,eeoooeeoeoooe
0335739013270,1,eooooooeooeoe
3901146694761,1,ooeooeeeoeoeo
2281725983553,1,eeeooeooeoooo
0310406659,1,eooeeeeeoo
0148598314521,1,eoeeooeooeoeo
3901100863695,1,ooeooeeeeoeoo
1731192071495,1,ooooooeeooeoo
2713336582998,1,eoooooeoeeooe
0195971183559,1,eoooooooeoooo
0143024253720,1,eoeoeeeeoooee
3150515073980,1,oooeoooeoooee
3306993553,1,ooeeoooooo
0182836621495,1,eoeeeoeeeoeoo
3365812382780,1,ooeoeoeoeeoee
3414119541821,1,oeoeooooeoeeo
0133230701129,1,eoooeoeoeooeo
2467114854309,1,eeeoooeeoeoeo
0124389401157,1,eoeeoeoeeoooo
0805522312780,1,eeeooeeooeoee
0896727801795,1,eeoeoeoeeoooo
0307015021731,1,eoeoeooeeoooo
0232712351899,1,eeoeooeoooeoo
0711819594051,1,eoooeooooeeoo
0516327182598,1,eooeoeooeeooe
0940102561495,1,eoeeoeeoeoeoo
0368214101120,1,eoeeeoeoeooee
3096842791,1,oeoeeeeooo
0268267613270,1,eeeeeeoeooeoe
0637018213324,1,eeooeoeeoooee
1314132392548,1,oooeooeooeoee
0293112453682,1,eeooooeeooeee
0506644854790,1,eoeeeeeeoeooe
0516310652091,1,eooeooeeoeeoo
2639018211120,1,eeooeoeeoooee
0195449052091,1,eoooeeoeoeeoo
0430916284310,1,eeoeooeeeeooe
0779427186469,1,eoooeeooeeeeo
4543633124310,1,eoeoeoooeeooe
0490520783559,1,eeoeoeeoeoooo
0817822313388,1,eeooeeeooooee
0143012381954,1,eoeoeoeoeoooe
1485315054524,1,oeeooooeoeoee
4310337634304,1,eooeoooeoeoee
2996147382791,1,eooeoeooeeooo
1651025483324,1,oeooeeoeeooee
3512114853132,1,oooeooeeooooe
0192329191238,1,eooeoeooooeoe
1507242881731,1,ooeoeeeeeoooo
1651026823104,1,oeooeeeeeooee
3132110473720,1,oooeooeeoooee
1611739014521,1,oeoooooeoeoeo
2857135805332,1,eeoooooeeoooe
1129281184051,1,ooeoeeooeeeoo
3312192074869,1,oooeooeeoeeeo
0028163695,1,eeeeoeoeoo
0142914955999,1,eoeeooeoooooo
0141548566659,1,eoeooeeoeeeoo
0248144732791,1,eeeeoeeooeooo
4125061821,1,eoeoeeoeeo
2713111131731,1,eoooooooooooo
1104714855066,1,ooeeooeeooeee
0291944852091,1,eeoooeeeoeeoo
1111332705332,1,ooooooeoeoooe
0718418282425,1,eooeeoeeeeeeo
0529617313365,1,eoeoeooooooeo
3365814332414,1,ooeoeoeooeeoe
0291928002682,1,eeoooeeeeeeee
0150744853559,1,eooeoeeeooooo
0896733651795,1,eeoeoooeooooo
0544953325774,1,eoeeooooeoooe
2183219543695,1,eoeoeoooeoeoo
1731309683132,1,oooooeoeeoooe
1314246712075,1,oooeeeeooeeoo
1507236842598,1,ooeoeoeeeeooe
0133225484304,1,eoooeeoeeeoee
1954102562414,1,oooeoeeoeeeoe
0292016282816,1,eeoeeoeeeeeoe
2999147482682,1,eooooeoeeeeee
1959146692670,1,oooooeeeoeeoe
0389619544869,1,eoeoeoooeeeeo
0106591026169,1,eoeeoooeeeoeo
2467111294790,1,eeeooooeoeooe
1314129212425,1,oooeoeoeoeeeo
0189985265332,1,eoeooeoeeoooe
2446227184309,1,eeeeeeooeeoeo
1266029312091,1,oeeeeeoooeeoo
0048613322327,1,eeeeeoooeeoeo
0094062244349,1,eeoeeeeeeeoeo
3070147383324,1,oeoeoeooeooee
1983176452920,1,ooeoooeeoeoee
2919192075066,1,eoooooeeooeee
2281724815705,1,eeeooeeeoooeo
1080410652996,1,oeeeeoeeoeooe
1507206901795,1,ooeoeeeoeoooo
2154206905774,1,eooeeeeoeoooe
1872129966659,1,oeoeoeooeeeoo
1474831344790,1,oeoeeoooeeooe
1270315052598,1,oeoeoooeoeooe
2075100702231,1,eeoooeeoeeeoo
0192331344524,1,eooeooooeeoee
4310187082816,1,eooeoeoeeeeoe
0299677943104,1,eeooeoooeooee
3682125064051,1,oeeeoeoeeeeoo
2791146694521,1,eooooeeeoeoeo
0438124813365,1,eeoeoeeeoooeo
0127012352154,1,eoeoeoeooeooe
2825130233901,1,eeeoooeeoooeo
0014331795,1,eeoeoooooo
2999117962075,1,eoooooooeeeoo
1872130703023,1,oeoeooeoeoeeo
0718425984304,1,eooeeeooeeoee
0115736455774,1,eoooooeeooooe
0805533884790,1,eeeooooeeeooe
2075110475237,1,eeooooeeooeoo
2481203714790,1,eeeoeeoooeooe
1358039014524,1,oooeeooeoeoee
0485619593104,1,eeeoeooooooee
2359429195332,1,eoooeeooooooe
1611726822670,1,oeoooeeeeeeoe
0486161172999,1,eeeeoeoooeooo
0648229981433,1,eeeeeeooeoeoo
0368244734349,1,eoeeeeeooeoeo
0018285999,1,eeoeeeoooo
1065119185066,1,oeeoooooeoeee
0271327763510,1,eeoooeooeoooe
0355381783695,1,eooooeooeoeoo
3069935103365,1,oeeoooooeooeo
1959181953553,1,oooooeooooooo
3414152375774,1,oeoeooeoooooe
0112042243720,1,eooeeeeeeooee
0280043493720,1,eeeeeeoeoooee
0117969402414,1,eooooeoeeeeoe
1120306995066,1,ooeeoeeoooeee
0182880553559,1,eoeeeeeoooooo
2037139014304,1,eeoooooeoeoee
3181035237,1,ooeoeooeoo
1473827131828,1,oeooeeooooeee
0332415024521,1,eooeeooeeeoeo
4309203712425,1,eoeoeeoooeeeo
3553132392425,1,ooooooeooeeeo
